Date/Time,Resting Heart Rate (count/min),Source
2022-01-31 21:37:58,79,Mithat Can’s Apple Watch
2022-02-01 00:02:04,65,Mithat Can’s Apple Watch
2022-02-02 00:00:55,81,Mithat Can’s Apple Watch
2022-02-15 14:01:25,69,Mithat Can’s Apple Watch
2022-02-16 00:01:56,67,Mithat Can’s Apple Watch
2022-02-18 06:58:24,70,Mithat Can’s Apple Watch
2022-02-19 13:13:03,69,Mithat Can’s Apple Watch
2022-02-20 00:02:24,72,Mithat Can’s Apple Watch
2022-02-21 16:55:27,71,Mithat Can’s Apple Watch
2022-02-22 00:00:22,63,Mithat Can’s Apple Watch
2022-02-23 17:02:56,74,Mithat Can’s Apple Watch
2022-02-24 00:03:43,86,Mithat Can’s Apple Watch
2022-02-25 01:16:42,66,Mithat Can’s Apple Watch
2022-02-28 14:19:55,74,Mithat Can’s Apple Watch
2022-03-01 14:25:35,77,Mithat Can’s Apple Watch
2022-03-02 19:20:20,80,Mithat Can’s Apple Watch
2022-03-04 10:36:11,72,Mithat Can’s Apple Watch
2022-03-05 00:08:20,66,Mithat Can’s Apple Watch
2022-03-06 00:01:26,69,Mithat Can’s Apple Watch
2022-03-07 20:06:18,73,Mithat Can’s Apple Watch
2022-03-08 00:04:03,72,Mithat Can’s Apple Watch
2022-03-12 19:40:19,81,Mithat Can’s Apple Watch
2022-03-13 02:02:07,73,Mithat Can’s Apple Watch
2022-03-14 16:10:12,63,Mithat Can’s Apple Watch
2022-03-15 18:19:15,76,Mithat Can’s Apple Watch
2022-03-18 12:38:36,66,Mithat Can’s Apple Watch
2022-03-19 00:05:16,66,Mithat Can’s Apple Watch
2022-03-22 14:42:27,86,Mithat Can’s Apple Watch
2022-03-23 16:40:38,65,Mithat Can’s Apple Watch
2022-03-24 08:58:44,71,Mithat Can’s Apple Watch
2022-03-25 00:21:32,79,Mithat Can’s Apple Watch
2022-03-26 00:04:55,68,Mithat Can’s Apple Watch
2022-03-28 14:23:03,79,Mithat Can’s Apple Watch
2022-03-30 07:19:11,73,Mithat Can’s Apple Watch
2022-03-31 17:00:16,85,Mithat Can’s Apple Watch
2022-04-01 08:06:25,74,Mithat Can’s Apple Watch
2022-04-02 14:49:42,84,Mithat Can’s Apple Watch
2022-04-03 13:37:39,79,Mithat Can’s Apple Watch
2022-04-04 08:16:54,66,Mithat Can’s Apple Watch
2022-04-05 14:35:35,74,Mithat Can’s Apple Watch
2022-04-06 07:57:13,69,Mithat Can’s Apple Watch
2022-04-07 10:06:58,69,Mithat Can’s Apple Watch
2022-04-08 10:09:22,66,Mithat Can’s Apple Watch
2022-04-09 10:03:32,67,Mithat Can’s Apple Watch
2022-04-11 07:49:33,62,Mithat Can’s Apple Watch
2022-04-12 14:55:12,74,Mithat Can’s Apple Watch
2022-04-13 08:29:53,61,Mithat Can’s Apple Watch
2022-04-14 10:12:59,67,Mithat Can’s Apple Watch
2022-04-16 13:15:14,81,Mithat Can’s Apple Watch
2022-04-17 00:02:22,72,Mithat Can’s Apple Watch
2022-04-18 20:34:24,72,Mithat Can’s Apple Watch
2022-04-19 10:15:28,68,Mithat Can’s Apple Watch
2022-04-21 10:02:08,67,Mithat Can’s Apple Watch
2022-04-22 13:53:38,68,Mithat Can’s Apple Watch
2022-04-23 00:09:28,73,Mithat Can’s Apple Watch
2022-04-24 00:00:42,72,Mithat Can’s Apple Watch
2022-04-26 11:31:10,71,Mithat Can’s Apple Watch
2022-04-27 18:42:37,76,Mithat Can’s Apple Watch
2022-04-28 00:02:53,78,Mithat Can’s Apple Watch
2022-04-29 00:01:23,69,Mithat Can’s Apple Watch
2022-04-30 00:00:22,72,Mithat Can’s Apple Watch
2022-05-01 00:06:31,69,Mithat Can’s Apple Watch
2022-05-04 08:41:49,63,Mithat Can’s Apple Watch
2022-05-05 00:25:31,81,Mithat Can’s Apple Watch
2022-05-07 08:19:32,87,Mithat Can’s Apple Watch
2022-05-10 14:10:29,81,Mithat Can’s Apple Watch
2022-05-11 17:41:30,73,Mithat Can’s Apple Watch
2022-05-12 00:00:32,63,Mithat Can’s Apple Watch
2022-05-14 11:10:28,64,Mithat Can’s Apple Watch
2022-05-17 11:37:29,79,Mithat Can’s Apple Watch
2022-05-18 00:03:26,73,Mithat Can’s Apple Watch
2022-05-19 10:21:55,68,Mithat Can’s Apple Watch
2022-05-20 00:01:08,75,Mithat Can’s Apple Watch
2022-05-22 15:57:11,92,Mithat Can’s Apple Watch
2022-05-25 11:48:27,70,Mithat Can’s Apple Watch
2022-05-26 20:57:15,67,Mithat Can’s Apple Watch
2022-05-27 00:05:39,68,Mithat Can’s Apple Watch
2022-06-01 15:09:59,70,Mithat Can’s Apple Watch
2022-06-02 07:25:04,68,Mithat Can’s Apple Watch
2022-06-04 00:08:39,80,Mithat Can’s Apple Watch
2022-06-08 13:17:21,63,Mithat Can’s Apple Watch
2022-06-09 14:57:24,80,Mithat Can’s Apple Watch
2022-06-10 00:05:01,66,Mithat Can’s Apple Watch
2022-06-11 00:03:06,60,Mithat Can’s Apple Watch
2022-06-12 16:05:30,69,Mithat Can’s Apple Watch
2022-06-13 12:35:58,69,Mithat Can’s Apple Watch
2022-06-14 07:53:56,63,Mithat Can’s Apple Watch
2022-06-15 12:59:41,74,Mithat Can’s Apple Watch
2022-06-16 14:37:00,80,Mithat Can’s Apple Watch
2022-06-17 12:38:32,75,Mithat Can’s Apple Watch
2022-06-18 00:08:22,75,Mithat Can’s Apple Watch
2022-06-19 14:56:11,80,Mithat Can’s Apple Watch
2022-06-20 17:31:50,71,Mithat Can’s Apple Watch
2022-06-21 00:05:50,60,Mithat Can’s Apple Watch
2022-06-22 09:55:23,63,Mithat Can’s Apple Watch
2022-06-23 00:02:31,76,Mithat Can’s Apple Watch
2022-06-24 00:00:58,65,Mithat Can’s Apple Watch
2022-06-25 13:43:34,71,Mithat Can’s Apple Watch
2022-06-26 12:15:37,70,Mithat Can’s Apple Watch
2022-06-27 00:01:13,66,Mithat Can’s Apple Watch
2022-06-29 17:28:08,66,Mithat Can’s Apple Watch
2022-06-30 14:29:31,68,Mithat Can’s Apple Watch
2022-07-02 10:35:24,74,Mithat Can’s Apple Watch
2022-07-03 00:03:55,82,Mithat Can’s Apple Watch
2022-07-04 19:03:55,60,Mithat Can’s Apple Watch
2022-07-05 18:14:53,75,Mithat Can’s Apple Watch
2022-07-06 00:04:39,65,Mithat Can’s Apple Watch
2022-07-07 00:01:12,47,Mithat Can’s Apple Watch
2022-07-08 07:37:52,61,Mithat Can’s Apple Watch
2022-07-08 23:02:42,54,Mithat Can’s Apple Watch
2022-07-10 17:24:18,74,Mithat Can’s Apple Watch
2022-07-10 23:04:26,63,Mithat Can’s Apple Watch
2022-07-11 23:01:16,72,Mithat Can’s Apple Watch
2022-07-13 13:58:30,80,Mithat Can’s Apple Watch
2022-07-14 17:38:32,74,Mithat Can’s Apple Watch
2022-07-15 16:43:05,77,Mithat Can’s Apple Watch
2022-07-15 23:01:10,69,Mithat Can’s Apple Watch
2022-07-17 18:59:11,67,Mithat Can’s Apple Watch
2022-07-17 23:00:05,70,Mithat Can’s Apple Watch
2022-07-19 17:59:01,68,Mithat Can’s Apple Watch
2022-07-19 23:02:34,73,Mithat Can’s Apple Watch
2022-07-20 23:00:06,83,Mithat Can’s Apple Watch
2022-07-22 16:06:49,79,Mithat Can’s Apple Watch
2022-07-25 06:46:48,69,Mithat Can’s Apple Watch
2022-07-25 23:00:00,72,Mithat Can’s Apple Watch
2022-07-27 09:06:51,70,Mithat Can’s Apple Watch
2022-07-28 17:45:01,75,Mithat Can’s Apple Watch
2022-07-28 23:00:58,67,Mithat Can’s Apple Watch
2022-07-29 23:03:31,64,Mithat Can’s Apple Watch
2022-07-31 16:43:17,67,Mithat Can’s Apple Watch
2022-07-31 23:07:36,64,Mithat Can’s Apple Watch
2022-08-02 12:55:58,71,Mithat Can’s Apple Watch
2022-08-03 14:12:58,70,Mithat Can’s Apple Watch
2022-08-03 23:02:01,73,Mithat Can’s Apple Watch
2022-08-05 11:09:39,72,Mithat Can’s Apple Watch
2022-08-05 23:04:30,72,Mithat Can’s Apple Watch
2022-08-06 23:00:16,65,Mithat Can’s Apple Watch
2022-08-08 19:38:56,66,Mithat Can’s Apple Watch
2022-08-08 23:03:07,67,Mithat Can’s Apple Watch
2022-08-09 23:02:43,71,Mithat Can’s Apple Watch
2022-08-10 23:01:06,68,Mithat Can’s Apple Watch
2022-08-11 23:02:47,60,Mithat Can’s Apple Watch
2022-08-12 23:04:47,64,Mithat Can’s Apple Watch
2022-08-15 08:58:49,68,Mithat Can’s Apple Watch
2022-08-15 23:00:52,71,Mithat Can’s Apple Watch
2022-08-16 23:04:54,66,Mithat Can’s Apple Watch
2022-08-18 15:07:18,67,Mithat Can’s Apple Watch
2022-08-18 23:01:26,71,Mithat Can’s Apple Watch
2022-08-19 23:13:12,72,Mithat Can’s Apple Watch
2022-08-21 09:33:50,79,Mithat Can’s Apple Watch
2022-08-22 09:50:40,67,Mithat Can’s Apple Watch
2022-08-23 10:48:27,67,Mithat Can’s Apple Watch
2022-08-23 23:00:35,63,Mithat Can’s Apple Watch
2022-08-24 23:00:13,66,Mithat Can’s Apple Watch
2022-08-26 18:48:06,65,Mithat Can’s Apple Watch
2022-08-26 23:03:56,67,Mithat Can’s Apple Watch
2022-08-28 18:57:18,84,Mithat Can’s Apple Watch
2022-08-29 04:05:04,54,Mithat Can’s Apple Watch
2022-08-30 15:23:34,84,Mithat Can’s Apple Watch
2022-08-30 23:26:12,74,Mithat Can’s Apple Watch
2022-09-01 07:59:46,63,Mithat Can’s Apple Watch
2022-09-02 07:42:51,64,Mithat Can’s Apple Watch
2022-09-03 00:02:08,52,Mithat Can’s Apple Watch
2022-09-04 00:00:02,75,Mithat Can’s Apple Watch
2022-09-05 07:43:14,68,Mithat Can’s Apple Watch
2022-09-06 15:04:58,67,Mithat Can’s Apple Watch
2022-09-07 10:33:09,74,Mithat Can’s Apple Watch
2022-09-11 19:45:01,80,Mithat Can’s Apple Watch
2022-09-12 08:00:21,64,Mithat Can’s Apple Watch
2022-09-13 08:25:12,67,Mithat Can’s Apple Watch
2022-09-14 10:25:56,63,Mithat Can’s Apple Watch
2022-09-15 09:35:29,71,Mithat Can’s Apple Watch
2022-09-16 12:55:45,64,Mithat Can’s Apple Watch
2022-09-17 00:01:13,86,Mithat Can’s Apple Watch
2022-09-18 15:44:06,63,Mithat Can’s Apple Watch
2022-09-19 18:48:19,80,Mithat Can’s Apple Watch
2022-09-20 13:13:42,84,Mithat Can’s Apple Watch
2022-09-21 00:01:15,68,Mithat Can’s Apple Watch
2022-09-22 00:01:24,67,Mithat Can’s Apple Watch
2022-09-23 00:05:26,68,Mithat Can’s Apple Watch
2022-09-24 16:49:25,68,Mithat Can’s Apple Watch
2022-09-26 07:57:06,63,Mithat Can’s Apple Watch
2022-09-27 15:09:27,72,Mithat Can’s Apple Watch
2022-09-28 00:06:51,73,Mithat Can’s Apple Watch
2022-09-29 00:00:34,71,Mithat Can’s Apple Watch
2022-10-04 15:07:27,80,Mithat Can’s Apple Watch
2022-10-05 10:51:26,67,Mithat Can’s Apple Watch
2022-10-06 15:40:45,80,Mithat Can’s Apple Watch
2022-10-07 10:31:22,73,Mithat Can’s Apple Watch
2022-10-08 00:01:41,76,Mithat Can’s Apple Watch
2022-10-09 00:01:03,82,Mithat Can’s Apple Watch
2022-10-10 00:06:14,73,Mithat Can’s Apple Watch
2022-10-11 00:00:41,69,Mithat Can’s Apple Watch
2022-10-12 10:18:35,72,Mithat Can’s Apple Watch
2022-10-13 11:18:35,70,Mithat Can’s Apple Watch
2022-10-14 00:01:23,73,Mithat Can’s Apple Watch
2022-10-16 20:24:22,71,Mithat Can’s Apple Watch
2022-10-17 08:41:27,70,Mithat Can’s Apple Watch
2022-10-18 00:00:03,88,Mithat Can’s Apple Watch
2022-10-19 00:01:09,71,Mithat Can’s Apple Watch
2022-10-20 00:04:32,73,Mithat Can’s Apple Watch
2022-10-21 14:45:55,78,Mithat Can’s Apple Watch
2022-10-22 14:07:09,66,Mithat Can’s Apple Watch
2022-10-23 00:03:12,62,Mithat Can’s Apple Watch
2022-10-24 19:42:28,88,Mithat Can’s Apple Watch
2022-10-25 19:46:06,69,Mithat Can’s Apple Watch
2022-10-26 00:06:22,70,Mithat Can’s Apple Watch
2022-10-27 00:10:11,76,Mithat Can’s Apple Watch
2022-10-28 00:00:47,72,Mithat Can’s Apple Watch
2022-10-29 00:00:32,74,Mithat Can’s Apple Watch
2022-10-30 00:03:40,78,Mithat Can’s Apple Watch
2022-10-31 00:07:17,71,Mithat Can’s Apple Watch
2022-11-01 00:02:19,63,Mithat Can’s Apple Watch
2022-11-02 18:04:49,70,Mithat Can’s Apple Watch
2022-11-03 00:00:17,67,Mithat Can’s Apple Watch
2022-11-04 00:02:23,59,Mithat Can’s Apple Watch
2022-11-05 00:13:02,77,Mithat Can’s Apple Watch
2022-11-06 13:39:41,72,Mithat Can’s Apple Watch
2022-11-07 17:24:28,81,Mithat Can’s Apple Watch
2022-11-08 13:22:12,69,Mithat Can’s Apple Watch
2022-11-09 00:10:24,72,Mithat Can’s Apple Watch
2022-11-10 00:03:05,67,Mithat Can’s Apple Watch
2022-11-11 00:05:30,73,Mithat Can’s Apple Watch
2022-11-12 00:02:43,64,Mithat Can’s Apple Watch
2022-11-13 21:24:47,83,Mithat Can’s Apple Watch
2022-11-14 15:55:03,76,Mithat Can’s Apple Watch
2022-11-15 12:55:31,78,Mithat Can’s Apple Watch
2022-11-16 00:03:21,63,Mithat Can’s Apple Watch
2022-11-17 00:02:35,69,Mithat Can’s Apple Watch
2022-11-18 00:02:52,64,Mithat Can’s Apple Watch
2022-11-19 00:00:33,71,Mithat Can’s Apple Watch
2022-11-20 00:09:09,73,Mithat Can’s Apple Watch
2022-11-21 18:14:18,74,Mithat Can’s Apple Watch
2022-11-22 13:43:40,64,Mithat Can’s Apple Watch
2022-11-24 00:01:12,74,Mithat Can’s Apple Watch
2022-11-25 00:03:26,69,Mithat Can’s Apple Watch
2022-11-26 10:42:00,59,Mithat Can’s Apple Watch
2022-11-27 00:04:48,66,Mithat Can’s Apple Watch
2022-11-28 13:06:05,76,Mithat Can’s Apple Watch
2022-11-29 00:01:51,72,Mithat Can’s Apple Watch
2022-11-30 00:00:54,77,Mithat Can’s Apple Watch
2022-12-01 00:05:01,73,Mithat Can’s Apple Watch
2022-12-02 00:00:22,66,Mithat Can’s Apple Watch
2022-12-05 15:36:50,73,Mithat Can’s Apple Watch
2022-12-06 12:54:09,72,Mithat Can’s Apple Watch
2022-12-07 00:04:05,68,Mithat Can’s Apple Watch
2022-12-08 00:03:34,67,Mithat Can’s Apple Watch
2022-12-09 11:47:27,74,Mithat Can’s Apple Watch
2022-12-10 00:03:02,80,Mithat Can’s Apple Watch
2022-12-11 00:06:15,84,Mithat Can’s Apple Watch
2022-12-13 15:38:29,76,Mithat Can’s Apple Watch
2022-12-14 11:57:39,68,Mithat Can’s Apple Watch
2022-12-15 11:16:46,72,Mithat Can’s Apple Watch
2022-12-16 15:22:31,72,Mithat Can’s Apple Watch
2022-12-17 00:02:11,69,Mithat Can’s Apple Watch
2022-12-19 00:04:33,61,Mithat Can’s Apple Watch
2022-12-20 13:01:10,71,Mithat Can’s Apple Watch
2022-12-21 00:01:29,85,Mithat Can’s Apple Watch
2022-12-22 00:03:00,84,Mithat Can’s Apple Watch
2022-12-23 19:04:22,87,Mithat Can’s Apple Watch
2022-12-24 00:03:14,75,Mithat Can’s Apple Watch
2022-12-25 00:03:14,75,Mithat Can’s Apple Watch
2022-12-26 18:41:46,74,Mithat Can’s Apple Watch
2022-12-28 00:07:12,71,Mithat Can’s Apple Watch
2022-12-28 22:05:54,75,Mithat Can’s Apple Watch
2022-12-29 22:00:01,73,Mithat Can’s Apple Watch
2022-12-30 22:00:58,81,Mithat Can’s Apple Watch
2022-12-31 22:06:21,83,Mithat Can’s Apple Watch
2023-01-01 22:00:00,79,Mithat Can’s Apple Watch
2023-01-02 22:06:19,81,Mithat Can’s Apple Watch
2023-01-03 22:09:25,77,Mithat Can’s Apple Watch
2023-01-05 00:00:46,85,Mithat Can’s Apple Watch
2023-01-06 20:13:23,69,Mithat Can’s Apple Watch
2023-01-07 15:11:41,80,Mithat Can’s Apple Watch
2023-01-09 09:47:16,73,Mithat Can’s Apple Watch
2023-01-10 20:54:12,85,Mithat Can’s Apple Watch
2023-01-11 13:15:04,70,Mithat Can’s Apple Watch
2023-01-12 08:47:10,67,Mithat Can’s Apple Watch
2023-01-13 10:38:22,71,Mithat Can’s Apple Watch
2023-01-14 00:01:40,69,Mithat Can’s Apple Watch
2023-01-16 12:43:34,75,Mithat Can’s Apple Watch
2023-01-17 11:38:48,66,Mithat Can’s Apple Watch
2023-01-18 00:04:29,67,Mithat Can’s Apple Watch
2023-01-19 00:04:25,74,Mithat Can’s Apple Watch
2023-01-20 00:02:25,63,Mithat Can’s Apple Watch
2023-01-21 00:01:56,64,Mithat Can’s Apple Watch
2023-01-22 00:00:29,70,Mithat Can’s Apple Watch
2023-01-23 11:49:00,77,Mithat Can’s Apple Watch
2023-01-24 00:04:31,68,Mithat Can’s Apple Watch
2023-01-25 00:04:30,63,Mithat Can’s Apple Watch
2023-01-26 00:05:24,72,Mithat Can’s Apple Watch
2023-01-27 00:00:52,67,Mithat Can’s Apple Watch
2023-01-29 22:21:44,77,Mithat Can’s Apple Watch
2023-01-30 09:29:38,67,Mithat Can’s Apple Watch
2023-01-31 00:01:40,75,Mithat Can’s Apple Watch
2023-02-01 00:01:51,72,Mithat Can’s Apple Watch
2023-02-02 11:49:59,80,Mithat Can’s Apple Watch
2023-02-03 00:02:07,90,Mithat Can’s Apple Watch
2023-02-04 15:54:31,74,Mithat Can’s Apple Watch
2023-02-05 00:00:17,72,Mithat Can’s Apple Watch
2023-02-06 00:00:06,71,Mithat Can’s Apple Watch
2023-02-07 19:47:27,63,Mithat Can’s Apple Watch
2023-02-08 00:03:25,62,Mithat Can’s Apple Watch
2023-02-09 10:20:34,72,Mithat Can’s Apple Watch
2023-02-10 12:06:16,64,Mithat Can’s Apple Watch
2023-02-12 14:06:02,67,Mithat Can’s Apple Watch
2023-02-13 00:01:52,59,Mithat Can’s Apple Watch
2023-02-14 00:08:22,69,Mithat Can’s Apple Watch
2023-02-15 00:11:49,84,Mithat Can’s Apple Watch
2023-02-16 19:34:02,83,Mithat Can’s Apple Watch
2023-02-17 00:04:51,72,Mithat Can’s Apple Watch
2023-02-20 16:56:41,78,Mithat Can’s Apple Watch
2023-02-22 17:20:01,92,Mithat Can’s Apple Watch
2023-02-24 11:21:21,71,Mithat Can’s Apple Watch
2023-02-26 15:51:21,67,Mithat Can’s Apple Watch
2023-02-27 12:16:16,68,Mithat Can’s Apple Watch
2023-02-28 10:07:19,69,Mithat Can’s Apple Watch
2023-03-01 15:34:12,78,Mithat Can’s Apple Watch
2023-03-02 00:05:26,66,Mithat Can’s Apple Watch
2023-03-05 15:46:14,80,Mithat Can’s Apple Watch
2023-03-06 00:02:01,72,Mithat Can’s Apple Watch
2023-03-08 17:44:43,77,Mithat Can’s Apple Watch
2023-03-09 00:01:37,79,Mithat Can’s Apple Watch
2023-03-10 00:00:13,68,Mithat Can’s Apple Watch
2023-03-11 00:03:11,69,Mithat Can’s Apple Watch
2023-03-13 13:01:33,73,Mithat Can’s Apple Watch
2023-03-15 15:23:37,63,Mithat Can’s Apple Watch
2023-03-16 00:04:15,72,Mithat Can’s Apple Watch
2023-03-17 00:19:09,72,Mithat Can’s Apple Watch
2023-03-27 11:05:45,76,Mithat Can’s Apple Watch
2023-03-28 17:07:01,87,Mithat Can’s Apple Watch
2023-03-31 11:46:33,79,Mithat Can’s Apple Watch
2023-04-01 15:05:20,73,Mithat Can’s Apple Watch
2023-04-02 20:41:01,87,Mithat Can’s Apple Watch
2023-04-03 00:03:47,84,Mithat Can’s Apple Watch
2023-04-04 12:51:58,72,Mithat Can’s Apple Watch
2023-04-05 17:00:00,84,Mithat Can’s Apple Watch
2023-04-06 15:29:58,90,Mithat Can’s Apple Watch
2023-04-07 00:02:53,77,Mithat Can’s Apple Watch
2023-04-08 00:11:40,56,Mithat Can’s Apple Watch
2023-04-11 12:33:28,70,Mithat Can’s Apple Watch
2023-04-12 00:02:39,70,Mithat Can’s Apple Watch
2023-04-13 15:20:06,67,Mithat Can’s Apple Watch
2023-04-16 15:54:58,74,Mithat Can’s Apple Watch
2023-04-17 15:16:09,75,Mithat Can’s Apple Watch
2023-04-18 00:00:03,69,Mithat Can’s Apple Watch
2023-04-19 15:02:00,79,Mithat Can’s Apple Watch
2023-04-20 00:00:45,79,Mithat Can’s Apple Watch
2023-04-21 09:56:11,62,Mithat Can’s Apple Watch
2023-04-22 14:01:56,69,Mithat Can’s Apple Watch
2023-04-23 15:11:03,84,Mithat Can’s Apple Watch
2023-04-24 00:03:15,68,Mithat Can’s Apple Watch
2023-04-25 00:04:51,66,Mithat Can’s Apple Watch
2023-04-26 14:14:32,72,Mithat Can’s Apple Watch
2023-04-27 06:39:07,70,Mithat Can’s Apple Watch
2023-04-28 00:06:02,73,Mithat Can’s Apple Watch
2023-04-29 00:03:09,70,Mithat Can’s Apple Watch
2023-04-30 00:05:37,77,Mithat Can’s Apple Watch
2023-05-01 00:00:41,65,Mithat Can’s Apple Watch
2023-05-02 12:15:36,66,Mithat Can’s Apple Watch
2023-05-03 00:01:55,64,Mithat Can’s Apple Watch
